Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXE_M_R
117,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
118,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
119,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
120,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
121,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
122,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
128,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
129,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
130,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
131,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
132,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
133,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
134,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
135,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
136,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
137,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
138,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
139,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
140,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
141,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
144,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
147,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
149,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
150,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
152,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
154,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
156,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
157,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
158,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
159,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
160,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
161,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
162,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
163,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
164,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
165,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
166,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
167,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
168,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
169,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
170,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
171,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
173,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
174,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
175,NULL,Water,Water,NULL,Water,NULL,NULL,Water
176,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
177,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
178,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
179,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
180,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
181,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
182,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
183,NULL,Water,Water,Water,Water,NULL,NULL,Water
184,NULL,Water,Water,Water,Water,NULL,NULL,Forest
185,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
187,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
189,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
191,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
192,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
194,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
206,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
207,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
208,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
209,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
210,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
211,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
212,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
213,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
