Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Bareland
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,NULL
236,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
239,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
240,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
242,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
