Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
168,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
169,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
170,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
174,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
