Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
69,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
73,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
74,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
144,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
148,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
153,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
156,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
189,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
213,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
214,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
215,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
216,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
218,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
219,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
220,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
221,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Bareland
222,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
223,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
224,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
225,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
226,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
227,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
228,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
232,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
233,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
234,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
245,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
248,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
261,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
263,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
265,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
267,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
271,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
273,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
275,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
276,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
280,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
283,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
284,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
286,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
288,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
289,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
291,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
296,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
300,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
302,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
303,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
305,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
308,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
311,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
312,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
315,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
316,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
317,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
318,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
319,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
320,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
321,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
322,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
323,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
324,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
325,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
326,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
327,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
328,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Water,Forest
329,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
330,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
331,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
332,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
