Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KME_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KME_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
123,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
128,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
129,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
130,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
131,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
132,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
133,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
134,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
136,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
137,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
138,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
139,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
140,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
141,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
142,NULL,NULL,Water,Water,Water,NULL,NULL,Water
143,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
156,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
157,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
158,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
159,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
160,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
164,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
181,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
184,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
190,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
194,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
197,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
199,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
201,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
202,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
204,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
205,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
207,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
209,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
218,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
219,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
226,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
227,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
228,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
231,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
234,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
236,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
238,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
240,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
241,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
242,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
245,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
246,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
248,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
255,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
257,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
258,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
259,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
261,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
266,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
269,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
272,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
273,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
274,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
275,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
276,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
277,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
279,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
280,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
282,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
284,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
286,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
288,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
289,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
292,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
297,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
298,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
299,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
300,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
301,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
302,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
308,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
311,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
312,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
313,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
314,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
315,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
317,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
318,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
319,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
321,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
322,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
324,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
327,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
329,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
331,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
335,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
