Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LNH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LNH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LNH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LNH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LNH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LNH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LNH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LNH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Wetland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Cropland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
