Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
51,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
52,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
53,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
54,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
55,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
56,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
57,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
59,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
60,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
61,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
63,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
64,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
65,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
66,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
67,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
68,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
69,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
71,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
75,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,NULL
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Forest,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
