Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
210,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
211,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
212,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
219,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
220,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
222,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
223,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
224,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
225,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
