Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
89,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
109,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Cropland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
257,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
263,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
303,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
305,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest,Grassland
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
319,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
321,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
322,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
