Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
199,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
201,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
