Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
22,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
28,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
