Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
55,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
60,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
63,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
67,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
69,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
70,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
71,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
