Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
