Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LWM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LWM_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Built-up
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
112,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
113,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
128,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
129,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
130,NULL,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
131,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
132,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
133,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
134,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
136,NULL,NULL,Water,Water,Water,NULL,NULL,Water
137,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
138,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
149,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
153,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
154,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
155,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Built-up
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
164,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
166,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
171,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
173,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
182,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
185,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
187,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
188,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
200,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
204,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
207,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
209,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
215,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
217,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
218,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
224,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
225,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
232,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
234,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
235,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
236,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
237,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
239,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
244,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
246,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
253,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
254,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
255,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
256,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
257,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
258,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
259,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
260,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
261,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
262,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
263,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
264,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
266,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
267,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
268,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
270,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
272,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
275,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
284,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
288,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
289,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
290,NULL,Bareland,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
291,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
292,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
293,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
294,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
295,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
296,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
298,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
299,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
301,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
303,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
304,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
309,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
310,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
311,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
312,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
315,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
317,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
320,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
321,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
323,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
324,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
327,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
328,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
332,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
