Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
201,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
202,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
204,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
205,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
206,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
207,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
210,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
211,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
212,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
213,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
214,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
216,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
217,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
218,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
