Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
