Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MPR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Water
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Water
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
55,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
56,NULL,NULL,Cropland,Water,Non_Wetland,Water
57,NULL,NULL,Cropland,Water,Non_Wetland,Forest
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Cropland
60,NULL,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,NULL,Wetland,NULL,Wetland,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,NULL,Wetland,Water,Wetland,Grassland
66,NULL,NULL,Wetland,Water,Wetland,Cropland
67,NULL,NULL,Wetland,Water,Wetland,Bareland
68,NULL,NULL,Wetland,Water,Wetland,Water
69,NULL,NULL,Wetland,Water,Wetland,Forest
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
82,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
83,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
84,NULL,NULL,Bareland,Water,Non_Wetland,Water
85,NULL,NULL,Bareland,Water,Non_Wetland,Forest
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
87,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
92,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
93,NULL,NULL,Water,NULL,Water,NULL
94,NULL,NULL,Water,NULL,Water,Grassland
95,NULL,NULL,Water,NULL,Water,Cropland
96,NULL,NULL,Water,NULL,Water,Bareland
97,NULL,NULL,Water,NULL,Water,Built-up
98,NULL,NULL,Water,NULL,Water,Water
99,NULL,NULL,Water,NULL,Water,Forest
100,NULL,NULL,Water,Non_Water,Water,Cropland
101,NULL,NULL,Water,Non_Water,Water,Bareland
102,NULL,NULL,Water,Non_Water,Water,Water
103,NULL,NULL,Water,Non_Water,Water,Forest
104,NULL,NULL,Water,Water,Water,Grassland
105,NULL,NULL,Water,Water,Water,Bareland
106,NULL,NULL,Water,Water,Water,Water
107,NULL,NULL,Water,Water,Water,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
111,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
112,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
113,NULL,NULL,Forest,NULL,Non_Wetland,Water
114,NULL,NULL,Forest,NULL,Non_Wetland,Forest
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
119,NULL,NULL,Forest,Water,Non_Wetland,Grassland
120,NULL,NULL,Forest,Water,Non_Wetland,Cropland
121,NULL,NULL,Forest,Water,Non_Wetland,Bareland
122,NULL,NULL,Forest,Water,Non_Wetland,Water
123,NULL,NULL,Forest,Water,Non_Wetland,Forest
