Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
207,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
210,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
218,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
220,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
222,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
227,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
233,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
248,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
251,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
261,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
265,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
267,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
268,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
271,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
273,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
278,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
279,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
280,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
282,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
285,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
288,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
292,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
294,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
295,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,NULL
322,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
323,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
324,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
