Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGE_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
63,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
64,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
81,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
82,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
83,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
84,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
85,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
86,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
87,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
88,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
89,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
90,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
91,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
92,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
93,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Water
95,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
108,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
123,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
129,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
134,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
135,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
136,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
137,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
138,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
139,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
140,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
141,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
142,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
143,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
144,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
149,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
150,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
151,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
152,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
153,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
154,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
155,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
156,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
157,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
160,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
161,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
165,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
166,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
170,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
172,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
175,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
176,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
179,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
182,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
183,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
187,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
188,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
189,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
190,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
191,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
192,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
193,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
199,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
200,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
209,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
213,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
214,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
215,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
222,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
223,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
224,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
225,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
226,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
231,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
236,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
237,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
238,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
239,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
240,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
241,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
249,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
255,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
258,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
260,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
263,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
264,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
266,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
267,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
268,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
269,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
270,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
271,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
272,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
273,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
274,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
275,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
276,NULL,Water,Water,NULL,Water,NULL,NULL,Water
277,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
278,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
279,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
280,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
281,NULL,Water,Water,Water,Water,NULL,NULL,Water
282,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
284,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
285,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
288,NULL,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
289,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,Permanent_ice_and_snow,Water,NULL,Water,NULL,NULL,Grassland
297,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
301,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
303,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
305,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
307,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
310,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
312,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
313,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
320,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
321,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
322,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
323,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
324,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
325,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
326,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
327,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
328,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
330,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
333,NULL,Forest,Water,NULL,Water,NULL,NULL,Cropland
334,NULL,Forest,Water,NULL,Water,NULL,NULL,Wetland
335,NULL,Forest,Water,NULL,Water,NULL,NULL,Bareland
336,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
337,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
338,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
339,NULL,Forest,Water,Water,Water,NULL,NULL,Bareland
340,NULL,Forest,Water,Water,Water,NULL,NULL,Water
341,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
342,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
343,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
344,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
345,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
346,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
