Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
