Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Cropland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Built-up
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Cropland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
65,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
70,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
78,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
79,NULL,NULL,Wetland,Water,Wetland,NULL,Cropland
80,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
81,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
82,NULL,NULL,Wetland,Water,Wetland,NULL,Water
83,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Cropland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Forest
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
109,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
111,NULL,NULL,Water,NULL,Water,NULL,Grassland
112,NULL,NULL,Water,NULL,Water,NULL,Wetland
113,NULL,NULL,Water,NULL,Water,NULL,Bareland
114,NULL,NULL,Water,NULL,Water,NULL,Forest
115,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
116,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
117,NULL,NULL,Water,Non_Water,Water,NULL,Forest
118,NULL,NULL,Water,Water,Water,NULL,Grassland
119,NULL,NULL,Water,Water,Water,NULL,Wetland
120,NULL,NULL,Water,Water,Water,NULL,Bareland
121,NULL,NULL,Water,Water,Water,NULL,Water
122,NULL,NULL,Water,Water,Water,NULL,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
131,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
134,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
135,NULL,NULL,Forest,Water,Non_Wetland,NULL,Cropland
136,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
137,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
140,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
141,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
147,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
148,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
149,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
150,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Cropland
151,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
158,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
159,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Grassland
160,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Wetland
161,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
163,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
164,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland
165,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Wetland
166,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
167,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland
168,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
169,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
170,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
171,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
172,NULL,Cropland,Wetland,Water,Wetland,NULL,Wetland
173,NULL,Cropland,Wetland,Water,Wetland,NULL,Bareland
174,NULL,Cropland,Wetland,Water,Wetland,NULL,Water
175,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
176,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Forest
177,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
178,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland
179,NULL,Cropland,Water,NULL,Water,NULL,Grassland
180,NULL,Cropland,Water,NULL,Water,NULL,Wetland
181,NULL,Cropland,Water,Water,Water,NULL,Grassland
182,NULL,Cropland,Water,Water,Water,NULL,Wetland
183,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
184,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
185,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
186,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Grassland
187,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland
188,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Forest
189,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
190,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
191,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Wetland
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
196,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
197,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
198,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
199,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
200,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
201,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
202,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
203,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
204,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
205,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
206,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
207,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
208,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
209,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
210,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
211,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
212,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
213,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
214,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
215,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
216,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
217,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
218,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
219,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
220,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
221,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Wetland
222,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL
223,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
224,NULL,Wetland,Wetland,NULL,Wetland,NULL,Cropland
225,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
226,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
227,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
228,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
229,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland
230,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
231,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
232,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
233,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
234,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
235,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
236,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
237,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
238,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
239,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Forest
240,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
241,NULL,Wetland,Water,NULL,Water,NULL,Grassland
242,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
243,NULL,Wetland,Water,Non_Water,Water,NULL,Forest
244,NULL,Wetland,Water,Water,Water,NULL,Grassland
245,NULL,Wetland,Water,Water,Water,NULL,Wetland
246,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
247,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
248,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
249,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
250,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
251,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
252,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
253,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
254,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
255,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
256,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
258,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
259,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
260,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Bareland
261,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
262,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
263,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
264,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
265,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
266,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
267,NULL,Bareland,Water,NULL,Water,NULL,Grassland
268,NULL,Bareland,Water,NULL,Water,NULL,Water
269,NULL,Bareland,Water,Water,Water,NULL,Water
270,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
271,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
272,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
275,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Cropland
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
279,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
280,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
281,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL
282,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
284,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
285,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
286,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
287,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
288,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Cropland
289,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
290,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
291,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
292,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
293,NULL,Built-up,Wetland,NULL,Wetland,NULL,Bareland
294,NULL,Built-up,Wetland,NULL,Wetland,NULL,Built-up
295,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
296,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland
297,NULL,Built-up,Wetland,Water,Wetland,NULL,Grassland
298,NULL,Built-up,Wetland,Water,Wetland,NULL,Wetland
299,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
301,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
302,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
303,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL
304,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
306,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
307,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
308,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland
309,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
310,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
311,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
312,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
313,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water
314,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
315,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland
316,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
317,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
318,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
319,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
320,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
321,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
322,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
323,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
324,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Bareland
325,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Water
326,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
327,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Grassland
328,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest
329,NULL,Water,Grassland,Water,Non_Wetland,NULL,Grassland
330,NULL,Water,Grassland,Water,Non_Wetland,NULL,Water
331,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest
332,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
333,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland
334,NULL,Water,Wetland,NULL,Wetland,NULL,Water
335,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
336,NULL,Water,Wetland,Non_Water,Wetland,NULL,Grassland
337,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest
338,NULL,Water,Wetland,Water,Wetland,NULL,Grassland
339,NULL,Water,Wetland,Water,Wetland,NULL,Cropland
340,NULL,Water,Wetland,Water,Wetland,NULL,Wetland
341,NULL,Water,Wetland,Water,Wetland,NULL,Bareland
342,NULL,Water,Wetland,Water,Wetland,NULL,Water
343,NULL,Water,Wetland,Water,Wetland,NULL,Forest
344,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Grassland
345,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Bareland
346,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Water
347,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Forest
348,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,Forest
349,NULL,Water,Bareland,Water,Non_Wetland,NULL,Grassland
350,NULL,Water,Bareland,Water,Non_Wetland,NULL,Forest
351,NULL,Water,Water,Water,Water,NULL,Wetland
352,NULL,Water,Water,Water,Water,NULL,Bareland
353,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
354,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
355,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
356,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Water
357,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland
358,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest
359,NULL,Forest,NULL,Water,Non_Wetland,NULL,Forest
360,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
361,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
362,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland
363,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
364,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
365,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
366,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Grassland
367,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Forest
368,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
369,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
370,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
371,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
372,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
373,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland
374,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest
375,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Grassland
376,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Wetland
377,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Forest
378,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
379,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland
380,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
381,NULL,Forest,Cropland,Water,Non_Wetland,NULL,Grassland
382,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL
383,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
