Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
36,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
42,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
44,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
45,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
64,NULL,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
65,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
67,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
68,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
69,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
71,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
72,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
73,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
74,NULL,Water,Water,NULL,Water,Water,Water,Forest
75,NULL,Water,Water,Non_Water,Water,Water,Water,Grassland
76,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
77,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
81,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
82,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
83,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
84,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
85,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
86,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
87,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,Forest,Water,NULL,Water,Wetland,Water,Forest
89,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
91,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
92,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
