Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
8,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
9,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
10,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
11,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
12,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
13,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
14,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
15,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
16,NULL,NULL,Water,Water,Water,NULL,NULL,Water
17,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
18,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
22,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
24,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
25,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
26,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
27,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
29,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
30,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
31,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
41,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
42,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
43,NULL,Water,Water,NULL,Water,NULL,NULL,Water
44,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
45,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
46,NULL,Water,Water,Water,Water,NULL,NULL,Water
47,NULL,Water,Water,Water,Water,NULL,NULL,Forest
48,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
53,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
54,Grassland,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
55,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,Grassland,Water,Water,Water,Water,NULL,NULL,Water
57,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
59,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
60,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
61,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
62,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
63,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
64,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
65,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
66,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
67,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
69,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
70,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
71,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
72,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
73,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
74,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
75,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
76,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
77,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
78,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
79,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
80,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
81,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
82,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
83,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
84,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
85,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
86,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
87,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
88,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
89,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
90,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
91,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
92,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
93,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
94,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
95,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
96,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
97,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
98,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
99,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
100,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
101,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
102,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
103,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
104,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
106,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
107,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
108,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
109,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
110,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
112,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
113,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
114,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
115,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
116,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
