Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
210,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
214,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
230,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
243,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
244,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
246,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
247,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
248,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
249,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
250,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
251,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
253,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
254,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
255,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
256,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
257,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
258,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
259,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
267,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
268,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
269,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
270,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
271,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
272,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
273,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
274,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Bareland
275,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
276,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
277,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
278,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
279,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
280,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
281,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
282,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Bareland
283,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
284,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
285,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
286,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
287,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
288,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
289,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
290,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
295,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
300,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
309,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
315,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
331,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
332,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
333,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
