Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Bareland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
