Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHC_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
108,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
121,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
124,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
125,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
127,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
128,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
129,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
130,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
131,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
132,NULL,NULL,Water,Water,Water,NULL,NULL,Water
133,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
148,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
150,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
152,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
153,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
154,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
155,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
164,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
165,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
168,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
175,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
178,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
183,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
185,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
186,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
188,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
190,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
191,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
192,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
195,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
197,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
200,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
202,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
207,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
209,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
211,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,NULL
214,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
216,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
217,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
222,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
224,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
227,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
228,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
237,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
238,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
239,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
241,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
243,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
245,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
246,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
248,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
249,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
253,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
256,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
257,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
258,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
259,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Built-up
260,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
261,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
262,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
263,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
264,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
265,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
266,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
267,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
268,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
269,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
270,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
271,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
272,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
273,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
274,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
276,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
278,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
280,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
282,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
283,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
284,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
285,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
286,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
289,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
290,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
291,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
292,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
293,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
294,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
295,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
296,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
297,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
298,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
299,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
301,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
302,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
304,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
306,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
307,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,NULL
308,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
309,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
310,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
311,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
312,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
313,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
316,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
318,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
322,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
323,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
324,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
326,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
328,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
329,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
330,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
331,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
332,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
333,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
334,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
335,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
336,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
337,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
338,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
339,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
