Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
