Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
15,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
18,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
19,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
21,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
22,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
23,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
24,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
26,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
27,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
29,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
36,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
37,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
39,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
40,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
41,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
43,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
44,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
46,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
49,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
50,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
51,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
52,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
53,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
54,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
55,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
56,NULL,Water,Water,Non_Water,Water,Water,Water,Water
57,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
58,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
59,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
60,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
62,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
63,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
65,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
67,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
69,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
71,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
72,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
73,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
74,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
75,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
76,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Grassland
77,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
78,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
79,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
80,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
81,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Water
82,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
83,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
84,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Bareland
85,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
86,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
87,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
88,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
89,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Bareland
90,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
91,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
92,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
93,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Forest
