Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
