Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
178,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
179,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
