Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQR_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
192,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
193,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
194,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
196,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
197,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Built-up
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
201,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
202,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
204,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
208,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
209,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Built-up
210,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
211,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
212,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
214,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
215,NULL,NULL,NULL,Water,Non_Wetland,Built-up,NULL,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Wetland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
