Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
