Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LXP_M_R
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
76,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
77,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
78,NULL,NULL,Water,Water,Water,NULL,NULL,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
88,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
92,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
93,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
101,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
108,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
112,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
113,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
116,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
117,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
122,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
123,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
124,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
125,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
126,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
127,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
128,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
129,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
130,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
131,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
134,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
139,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
141,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
142,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
143,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
144,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
145,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
146,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
147,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
150,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
152,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
153,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
156,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
159,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
161,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
169,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
174,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
177,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
180,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
181,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
186,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
187,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
188,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,NULL
190,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
191,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
192,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
193,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
194,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
195,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
196,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
197,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
198,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
199,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
200,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
206,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
208,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
212,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
213,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
214,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
217,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
218,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
219,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
220,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
221,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
222,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
223,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
224,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
227,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
229,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
231,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
232,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
233,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
234,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
240,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
242,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
249,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
253,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
259,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
261,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
263,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
264,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
265,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
266,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
267,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
268,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
269,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
270,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
271,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
272,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
273,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
274,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
275,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
276,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
278,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
279,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
283,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
284,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
285,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
286,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
287,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
288,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
289,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
290,NULL,Water,Water,Water,Water,NULL,NULL,Water
291,NULL,Water,Water,Water,Water,NULL,NULL,Forest
292,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
298,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
299,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
301,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
302,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
303,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
307,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
312,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
313,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
314,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
317,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
318,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
321,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
322,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
328,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
329,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
330,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Built-up
331,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
332,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
333,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
334,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
335,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
336,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
337,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
338,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
339,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
340,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
341,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
342,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
343,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
