Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFK_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
66,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
69,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
70,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
71,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
119,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
138,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Bareland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
156,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Bareland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
161,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
165,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Water
166,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
169,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
172,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Built-up,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
182,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Forest
190,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
191,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
193,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
194,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
195,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Bareland
196,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
197,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
198,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Bareland,Grassland
200,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Water,Forest
201,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
202,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
249,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
252,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
256,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
260,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Built-up
261,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Built-up
268,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
271,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
272,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
274,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
275,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Water
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
282,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
283,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
285,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
288,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
289,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
290,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
291,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
296,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
303,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
307,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
308,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
311,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
313,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
314,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
315,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
316,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
317,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
319,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
320,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
321,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Forest
322,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
323,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
324,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
325,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
327,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
