Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Cropland,NULL,Non_Wetland,Water
38,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
43,NULL,NULL,Cropland,Water,Non_Wetland,Water
44,NULL,NULL,Cropland,Water,Non_Wetland,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,Forest
48,NULL,NULL,Wetland,Water,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Bareland
50,NULL,NULL,Wetland,Water,Wetland,Water
51,NULL,NULL,Wetland,Water,Wetland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
64,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
68,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
69,NULL,NULL,Water,NULL,Water,NULL
70,NULL,NULL,Water,NULL,Water,Grassland
71,NULL,NULL,Water,NULL,Water,Cropland
72,NULL,NULL,Water,NULL,Water,Wetland
73,NULL,NULL,Water,NULL,Water,Bareland
74,NULL,NULL,Water,NULL,Water,Water
75,NULL,NULL,Water,NULL,Water,Forest
76,NULL,NULL,Water,Non_Water,Water,Grassland
77,NULL,NULL,Water,Non_Water,Water,Forest
78,NULL,NULL,Water,Water,Water,Grassland
79,NULL,NULL,Water,Water,Water,Wetland
80,NULL,NULL,Water,Water,Water,Bareland
81,NULL,NULL,Water,Water,Water,Water
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
86,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
87,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
88,NULL,NULL,Forest,NULL,Non_Wetland,Forest
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
91,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Forest,Water,Non_Wetland,Grassland
94,NULL,NULL,Forest,Water,Non_Wetland,Wetland
95,NULL,NULL,Forest,Water,Non_Wetland,Bareland
96,NULL,NULL,Forest,Water,Non_Wetland,Water
97,NULL,NULL,Forest,Water,Non_Wetland,Forest
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
