Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
