Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
