Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFE_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
98,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
99,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
112,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
125,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
134,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
137,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
144,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
146,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
147,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
148,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
149,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
150,NULL,NULL,Water,Water,Water,NULL,NULL,Water
151,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
172,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
175,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
179,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
197,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
199,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
200,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
201,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
208,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
211,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
212,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
216,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
221,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
223,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
229,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
234,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
235,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
236,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
237,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
238,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
239,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
240,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
241,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
242,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
243,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
244,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
245,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
249,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
252,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
253,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
256,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
258,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
263,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
264,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
268,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
270,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
271,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
273,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
274,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
275,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
280,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
281,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
283,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
284,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
285,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
286,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
287,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
288,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
289,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
292,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
293,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
294,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
297,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
298,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
299,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
300,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
301,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
302,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
306,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
307,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
310,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
314,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
318,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
324,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
325,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
326,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
327,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
328,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
330,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
335,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
336,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
337,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
338,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
339,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
