Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
