Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
54,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
56,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
57,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
60,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
61,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
62,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
63,NULL,NULL,Wetland,Water,Wetland,NULL,Water
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
69,NULL,NULL,Water,NULL,Water,NULL,Grassland
70,NULL,NULL,Water,NULL,Water,NULL,Wetland
71,NULL,NULL,Water,NULL,Water,NULL,Bareland
72,NULL,NULL,Water,NULL,Water,NULL,Water
73,NULL,NULL,Water,NULL,Water,NULL,Forest
74,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
75,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
76,NULL,NULL,Water,Non_Water,Water,NULL,Bareland
77,NULL,NULL,Water,Non_Water,Water,NULL,Forest
78,NULL,NULL,Water,Water,Water,NULL,Grassland
79,NULL,NULL,Water,Water,Water,NULL,Wetland
80,NULL,NULL,Water,Water,Water,NULL,Bareland
81,NULL,NULL,Water,Water,Water,NULL,Water
82,NULL,NULL,Water,Water,Water,NULL,Forest
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
94,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
95,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
96,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
97,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
99,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland
100,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Water
101,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland
102,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
110,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
111,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Bareland
112,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Water
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Water
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
119,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Water
120,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
121,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland
122,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Water
123,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
124,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
125,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Forest
126,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
127,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland
128,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland
129,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Water
130,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Forest
131,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
132,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland
133,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Bareland
134,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water
135,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Forest
136,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
137,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Bareland
138,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Water
139,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Forest
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
146,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
147,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
148,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
149,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
150,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Water
151,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
152,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
153,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
154,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
155,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
156,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
157,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
158,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
159,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
160,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
161,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
162,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
163,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
164,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
165,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
166,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
167,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
168,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
169,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Built-up
170,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Water
171,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
172,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
173,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
174,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Water
175,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
176,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
177,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Bareland
178,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Water
179,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Forest
180,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
181,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
182,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
183,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
