Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MXV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MXV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Cropland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,NULL
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Built-up
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
