Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
55,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Wetland
117,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
121,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Wetland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Wetland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
151,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
152,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
153,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
154,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
155,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
156,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
157,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
158,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
160,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
161,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
162,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Wetland
163,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
164,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,Wetland
165,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Wetland
166,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
167,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
170,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
171,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
174,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
176,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
179,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
181,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Wetland
206,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Wetland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
213,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
217,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
218,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Wetland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
221,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Wetland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Wetland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Forest
229,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
232,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
233,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
235,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
236,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
237,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
238,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
239,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
240,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
241,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
242,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
247,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
248,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
250,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
251,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
252,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
253,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Forest
254,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
255,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
256,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
257,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
258,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
259,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
260,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Forest
261,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
262,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
263,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Forest
264,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Wetland
265,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
267,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
268,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
269,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
270,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
272,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
274,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
275,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
276,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
277,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
279,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
280,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
281,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
283,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
284,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
286,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
288,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
289,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
291,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
292,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
293,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Wetland
294,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
296,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
297,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
298,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
299,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
300,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
301,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
302,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
303,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
304,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
305,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
306,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
307,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
308,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
309,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
310,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Wetland
311,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
312,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
313,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
314,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
315,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
316,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
317,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
318,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
319,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
320,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
321,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
322,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
323,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
