Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,NULL
43,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
51,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,NULL
58,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
60,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
64,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Grassland,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
67,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
70,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
72,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
76,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
77,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
78,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
79,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
80,NULL,NULL,Water,NULL,Water,Wetland,Grassland,NULL
81,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
82,NULL,NULL,Water,NULL,Water,Wetland,Bareland,NULL
83,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
84,NULL,NULL,Water,NULL,Water,Wetland,Forest,NULL
85,NULL,NULL,Water,NULL,Water,Bareland,Water,NULL
86,NULL,NULL,Water,NULL,Water,Water,Grassland,NULL
87,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
