Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
