Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Cropland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
60,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up
65,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
66,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
71,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
72,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
73,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
74,NULL,NULL,Wetland,Water,Wetland,NULL,Water
75,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Cropland
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Wetland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water
88,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
89,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Built-up
90,NULL,NULL,Water,NULL,Water,NULL,Grassland
91,NULL,NULL,Water,NULL,Water,NULL,Wetland
92,NULL,NULL,Water,NULL,Water,NULL,Bareland
93,NULL,NULL,Water,NULL,Water,NULL,Water
94,NULL,NULL,Water,NULL,Water,NULL,Forest
95,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
96,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
97,NULL,NULL,Water,Non_Water,Water,NULL,Water
98,NULL,NULL,Water,Water,Water,NULL,Grassland
99,NULL,NULL,Water,Water,Water,NULL,Wetland
100,NULL,NULL,Water,Water,Water,NULL,Bareland
101,NULL,NULL,Water,Water,Water,NULL,Water
102,NULL,NULL,Water,Water,Water,NULL,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Cropland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
115,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
116,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
117,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
118,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
119,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
121,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Cropland
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland
123,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Cropland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
131,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Water
136,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
137,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Cropland
138,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Water
140,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Cropland
145,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up
150,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Water
151,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
152,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
153,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Cropland
154,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Wetland
155,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland
156,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Cropland
157,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Wetland
158,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Built-up
159,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Water
160,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL
161,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
162,NULL,Cropland,Wetland,NULL,Wetland,NULL,Cropland
163,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland
164,NULL,Cropland,Wetland,NULL,Wetland,NULL,Built-up
165,NULL,Cropland,Wetland,NULL,Wetland,NULL,Water
166,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
167,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
168,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
169,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Water
170,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
171,NULL,Cropland,Wetland,Water,Wetland,NULL,Wetland
172,NULL,Cropland,Wetland,Water,Wetland,NULL,Water
173,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Wetland
174,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,Wetland
175,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
176,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Cropland
177,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Wetland
178,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up
179,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water
180,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
181,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Wetland
182,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,Cropland
183,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,Wetland
