Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
182,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
184,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
