Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
39,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
