Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFA_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
97,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
98,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
100,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
103,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Built-up
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Built-up
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Built-up
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Built-up
244,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
245,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Built-up
248,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
249,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
252,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Built-up
254,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
255,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
256,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
259,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Grassland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Built-up
262,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
263,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Built-up
267,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
308,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Bareland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Bareland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
