Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MWV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Built-up
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
