Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,NULL,Wetland,Non_Water,Wetland,Water
54,NULL,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,NULL,Wetland,Water,Wetland,Grassland
56,NULL,NULL,Wetland,Water,Wetland,Wetland
57,NULL,NULL,Wetland,Water,Wetland,Bareland
58,NULL,NULL,Wetland,Water,Wetland,Water
59,NULL,NULL,Wetland,Water,Wetland,Forest
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
64,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
65,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
75,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
76,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
77,NULL,NULL,Water,NULL,Water,NULL
78,NULL,NULL,Water,NULL,Water,Grassland
79,NULL,NULL,Water,NULL,Water,Bareland
80,NULL,NULL,Water,NULL,Water,Built-up
81,NULL,NULL,Water,NULL,Water,Water
82,NULL,NULL,Water,NULL,Water,Forest
83,NULL,NULL,Water,Non_Water,Water,Grassland
84,NULL,NULL,Water,Non_Water,Water,Bareland
85,NULL,NULL,Water,Non_Water,Water,Forest
86,NULL,NULL,Water,Water,Water,Grassland
87,NULL,NULL,Water,Water,Water,Bareland
88,NULL,NULL,Water,Water,Water,Built-up
89,NULL,NULL,Water,Water,Water,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL
91,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
93,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
94,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
95,NULL,NULL,Forest,NULL,Non_Wetland,Water
96,NULL,NULL,Forest,NULL,Non_Wetland,Forest
97,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
99,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
100,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
102,NULL,NULL,Forest,Water,Non_Wetland,Grassland
103,NULL,NULL,Forest,Water,Non_Wetland,Wetland
104,NULL,NULL,Forest,Water,Non_Wetland,Bareland
105,NULL,NULL,Forest,Water,Non_Wetland,Built-up
106,NULL,NULL,Forest,Water,Non_Wetland,Forest
107,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
108,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
