Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
221,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
223,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
224,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
226,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
227,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
232,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
235,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
236,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Built-up,NULL,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
