Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
247,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
249,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
250,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
251,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
252,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
253,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
254,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
255,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Cropland
262,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
263,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
266,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
267,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
273,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
277,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
278,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
280,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
281,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Bareland
283,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
285,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
286,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Cropland
287,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
