Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
18,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
19,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
20,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
22,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Grassland
23,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Wetland
24,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Water
25,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
26,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
27,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
28,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
29,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
30,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
31,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
32,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
33,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Water
34,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Bareland
35,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Built-up
36,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Grassland
37,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Bareland
38,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Built-up
39,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Forest
40,NULL,NULL,Water,NULL,Water,Built-up,Built-up,Grassland
41,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
42,NULL,NULL,Water,Water,Water,Water,Water,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Bareland
