Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
104,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
105,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
106,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
107,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
108,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
109,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
110,NULL,NULL,Water,Water,Water,NULL,NULL,Water
111,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
139,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
145,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
147,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
148,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
155,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
163,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
177,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
184,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
185,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
186,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
187,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
188,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
189,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
190,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
191,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
192,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
193,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
203,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
204,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
207,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
209,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
211,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
213,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
215,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
220,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
233,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
235,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
237,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
238,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
243,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
246,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
247,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
249,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
258,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
260,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
265,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
267,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
270,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
272,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
273,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
275,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
276,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
280,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
281,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
282,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
283,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
284,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
285,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
286,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
287,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
288,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
289,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
290,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
292,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
298,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
300,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
304,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
306,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
307,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
308,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
309,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
310,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
311,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
312,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
313,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
314,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
316,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
317,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
318,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
319,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
320,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
321,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
322,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
324,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
325,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
326,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
327,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
328,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
329,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
330,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
331,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
332,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
333,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
334,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
335,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
336,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
337,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
338,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
