Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Bareland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Built-up,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
212,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Water
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
