Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
88,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
90,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
98,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
99,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
100,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
101,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
102,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
103,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
104,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
105,NULL,NULL,Water,Water,Water,NULL,NULL,Water
106,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
122,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
123,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
126,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
127,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
133,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
135,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
137,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
139,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
141,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
143,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
148,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
151,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
152,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
153,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
154,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
155,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
156,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
157,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
158,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
159,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
160,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
161,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
162,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
167,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
169,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
170,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
171,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
172,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
173,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
174,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
175,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
177,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
183,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
185,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
192,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
193,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
217,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
219,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
220,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
221,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
222,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
223,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
224,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
225,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
228,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
233,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
247,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
248,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
249,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
250,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
251,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
252,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
253,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
254,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
255,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
256,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
261,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
265,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
267,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
269,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
270,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
272,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
273,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
274,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
276,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
277,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
279,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
280,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
282,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
284,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
286,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
287,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
288,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
289,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
290,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
291,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
292,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
294,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
295,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
296,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
297,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
299,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
301,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
304,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
305,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
306,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
308,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
309,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
311,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
312,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
313,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
314,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
315,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
316,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
317,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
318,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
319,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
320,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
321,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
322,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
323,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
324,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
325,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
326,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
327,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
328,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
329,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
330,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
331,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
332,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
334,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
335,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
336,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
337,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
338,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
339,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
340,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
