Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Water
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Cropland
