Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVP_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
90,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
109,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
110,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
111,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
112,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
114,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
115,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
117,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
118,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
119,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Built-up
120,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
121,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
122,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
123,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
124,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
125,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
126,NULL,NULL,Water,Water,Water,NULL,NULL,Water
127,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
145,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
182,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
184,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
187,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
188,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
189,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
191,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
192,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
193,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
194,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
195,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
197,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
198,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
199,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
204,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
208,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
211,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
212,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
213,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
214,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
215,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
216,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
217,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
218,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
219,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
223,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
225,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
227,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
229,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
230,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
233,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
234,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
235,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
236,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
238,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
243,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
246,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
249,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
253,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
254,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
255,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
256,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
257,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
259,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
260,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
261,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
262,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
263,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
264,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
265,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
266,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
267,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
268,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
269,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
271,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
272,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
273,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
274,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
275,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
277,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
279,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
281,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
286,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
288,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
289,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
290,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
293,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
295,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
304,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
313,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
316,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
318,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
320,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
321,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
322,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
324,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Water
325,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Forest
326,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
327,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
328,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
329,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
330,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
331,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
332,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
333,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
334,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
335,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
336,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
337,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
338,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
339,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
340,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
