Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
9,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
44,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
