Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
29,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
