Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KKG_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
125,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
126,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
128,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
129,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
130,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
131,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
132,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
133,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
134,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
136,NULL,NULL,Water,Water,Water,NULL,NULL,Water
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
146,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
148,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
149,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
152,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
154,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
156,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
157,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
173,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
181,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
187,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
188,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
197,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
200,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
202,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
204,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
207,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
210,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
215,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
216,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
217,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
218,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
219,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
220,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
221,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
222,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
223,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
224,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
225,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
226,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
228,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
230,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
233,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
234,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
235,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
236,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
240,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
243,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
245,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
246,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
247,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
248,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
252,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
254,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
255,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
257,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
258,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
260,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
261,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
262,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
266,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
267,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
269,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
270,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
271,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
279,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
283,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
286,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
288,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
290,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
291,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
292,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
293,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
294,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
295,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
296,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
297,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
298,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
299,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
300,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
304,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
305,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
309,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
312,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
313,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
314,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
316,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
317,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
318,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
322,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
323,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
325,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
326,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
327,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
328,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
329,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
330,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
331,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
332,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
333,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
334,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
335,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
336,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
