Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
42,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,NULL
