Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KKD_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
123,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
125,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
126,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
128,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
129,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
130,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
131,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
132,NULL,NULL,Water,Water,Water,NULL,NULL,Water
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
145,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
149,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
150,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
167,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
183,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
189,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
197,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
206,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
214,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
224,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
226,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
228,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
229,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
231,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
233,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
235,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
236,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
240,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
241,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
249,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
251,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
260,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
262,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
263,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
264,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
265,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
266,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
271,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
273,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
274,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
276,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
281,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
282,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
283,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
286,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
290,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
292,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
298,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
299,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
300,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
302,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
304,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
312,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
313,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
315,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
316,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
317,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
318,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
319,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
321,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
324,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
327,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
328,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
330,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
331,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
332,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
