Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KPE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KPE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
43,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
44,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
61,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
62,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
69,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
71,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
74,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
86,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
90,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
102,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
105,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
112,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
132,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
144,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
146,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
155,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
156,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
160,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
165,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
166,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
170,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
171,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
174,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
175,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
176,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
177,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
178,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
179,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
180,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
183,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
184,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
185,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
186,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
187,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
189,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
190,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
191,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
192,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
194,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
195,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
196,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
197,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
198,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
199,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
201,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
203,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
204,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
205,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
206,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
208,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
210,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
212,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
214,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
216,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
217,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
218,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
220,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
221,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
222,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
223,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
224,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
227,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
229,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
230,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
232,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
233,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
234,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
235,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
236,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
237,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
238,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
239,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
241,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
242,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
244,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
245,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
246,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
248,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
250,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
252,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
254,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
255,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
256,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
257,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
259,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
261,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
262,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
263,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
265,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
266,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
267,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
268,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
269,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
271,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
272,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
273,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
274,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
275,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
276,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
278,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
279,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
280,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
281,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
282,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
283,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
284,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
285,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
286,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
287,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
288,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
289,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
290,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
291,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
292,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
294,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
295,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
296,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
297,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
298,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
299,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
300,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
302,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
303,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
304,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
306,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
307,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
308,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
309,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
311,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
312,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
313,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
315,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
317,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
318,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
319,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
320,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
322,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
324,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
326,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
327,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
328,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
